dataset,backbone,direction,n_calib,sample_seed,gap_cos_to_full,gap_angle_deg,r10,r100,delta_r100_vs_original_exact,delta_r100_vs_fullgap,gt_protocol
mscoco,clip-b32,text2image,100,3,0.9970252513885498,4.420490728129339,0.58076,0.732082,-0.267918,0.0020640000000000658,original_exact_ip
mscoco,clip-b32,text2image,100,4,0.9963908791542053,4.8693281949765135,0.57834,0.730694,-0.26930600000000005,0.0006760000000000099,original_exact_ip
mscoco,clip-b32,text2image,200,0,0.9987254738807678,2.8930646428931768,0.57916,0.73082,-0.26918,0.0008020000000000804,original_exact_ip
mscoco,clip-b32,text2image,200,1,0.9983211159706116,3.320540324899098,0.5818,0.731372,-0.268628,0.0013540000000000774,original_exact_ip
mscoco,clip-b32,text2image,200,2,0.9985705018043518,3.063946549935211,0.57926,0.730948,-0.26905199999999996,0.0009300000000000974,original_exact_ip
mscoco,clip-b32,text2image,200,3,0.9985805749893188,3.0531296089056026,0.57736,0.728506,-0.271494,-0.0015119999999999578,original_exact_ip
mscoco,clip-b32,text2image,200,4,0.9979555606842041,3.6643652904382487,0.58326,0.734146,-0.26585400000000003,0.0041280000000000205,original_exact_ip
mscoco,clip-b32,text2image,400,0,0.9992321729660034,2.2454175988574545,0.57946,0.73051,-0.26949,0.000492000000000048,original_exact_ip
mscoco,clip-b32,text2image,400,1,0.9992380142211914,2.2368591803249913,0.57704,0.729612,-0.27038799999999996,-0.00040599999999990644,original_exact_ip
mscoco,clip-b32,text2image,400,2,0.9990966320037842,2.43558157489124,0.57766,0.729124,-0.270876,-0.0008939999999999504,original_exact_ip
mscoco,clip-b32,text2image,400,3,0.9992349147796631,2.241404449468148,0.57736,0.729458,-0.27054199999999995,-0.0005599999999998939,original_exact_ip
mscoco,clip-b32,text2image,400,4,0.9993811845779419,2.015768214429985,0.5775,0.729468,-0.270532,-0.0005499999999999394,original_exact_ip
mscoco,clip-b32,image2text,25,0,0.9849584102630615,9.950167243241648,0.49794,0.690152,-0.309848,-0.004290000000000016,original_exact_ip
mscoco,clip-b32,image2text,25,1,0.9858588576316833,9.647015905820728,0.50622,0.695548,-0.30445199999999994,0.0011060000000000514,original_exact_ip
mscoco,clip-b32,image2text,25,2,0.9862849116325378,9.500239495346346,0.51054,0.699528,-0.30047199999999996,0.005086000000000035,original_exact_ip
mscoco,clip-b32,image2text,25,3,0.987747848033905,8.978178533512791,0.5015,0.690662,-0.309338,-0.0037800000000000056,original_exact_ip
mscoco,clip-b32,image2text,25,4,0.9865016937255859,9.42468844895414,0.50276,0.693302,-0.306698,-0.0011400000000000299,original_exact_ip
mscoco,clip-b32,image2text,50,0,0.9927250742912292,6.915372073609934,0.50818,0.69709,-0.30291,0.0026479999999999837,original_exact_ip
mscoco,clip-b32,image2text,50,1,0.9923685789108276,7.08299469862121,0.50886,0.69752,-0.30247999999999997,0.003078000000000025,original_exact_ip
mscoco,clip-b32,image2text,50,2,0.9937320947647095,6.41838767568419,0.50498,0.695502,-0.30449800000000005,0.0010599999999999499,original_exact_ip
