dataset,backbone,direction,N_db,nlist_setting,nlist,nprobe,probed_fraction,vanilla_R10,ms_R10,pmc_R10,vanilla_R100,ms_R100,pmc_R100,pmc_gain_R100_pct,vanilla_qps,ms_qps,pmc_qps
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,71,1.0,0.34692,0.36592,0.47884,0.498566,0.514514,0.64287,28.94,4845.79,4974.16,5036.83
MSCOCO,ImageBind,image->text,5000,n64,64,1,0.015625,0.49448,0.46598,0.53168,0.484994,0.482318,0.48226,-0.56,192387.61,189674.86,189929.92
MSCOCO,ImageBind,image->text,5000,n64,64,2,0.03125,0.54366,0.5114,0.5932,0.605646,0.586448,0.609482,0.63,106841.94,105051.07,104611.92
MSCOCO,ImageBind,image->text,5000,n64,64,4,0.0625,0.56394,0.53122,0.6216,0.667488,0.633636,0.692568,3.76,56300.22,57321.04,55628.74
MSCOCO,ImageBind,image->text,5000,n64,64,8,0.125,0.56988,0.53852,0.6307,0.695532,0.649328,0.732046,5.25,32266.83,33148.45,33017.12
MSCOCO,ImageBind,image->text,5000,n64,64,16,0.25,0.57004,0.54152,0.6335,0.704358,0.656168,0.747898,6.18,17325.53,17101.41,17060.93
MSCOCO,ImageBind,image->text,5000,n64,64,32,0.5,0.56978,0.54222,0.63392,0.702196,0.659724,0.751862,7.07,8772.66,8792.33,8786.03
MSCOCO,ImageBind,image->text,5000,n64,64,64,1.0,0.56892,0.54206,0.63312,0.696378,0.660564,0.748492,7.48,4215.33,4180.48,4108.66
MSCOCO,ImageBind,image->text,5000,sqrtN,71,1,0.014085,0.48776,0.45968,0.52178,0.464416,0.462448,0.459824,-0.99,189209.75,191101.54,185033.73
MSCOCO,ImageBind,image->text,5000,sqrtN,71,2,0.028169,0.54242,0.50806,0.59354,0.592522,0.575898,0.597026,0.76,104783.14,104018.44,106442.77
MSCOCO,ImageBind,image->text,5000,sqrtN,71,4,0.056338,0.56198,0.52578,0.62378,0.662898,0.632088,0.690204,4.12,56612.57,63794.71,63746.65
MSCOCO,ImageBind,image->text,5000,sqrtN,71,8,0.112676,0.57032,0.53212,0.63398,0.696848,0.64957,0.73261,5.13,31943.11,32508.51,32367.99
MSCOCO,ImageBind,image->text,5000,sqrtN,71,16,0.225352,0.57068,0.53502,0.63596,0.706824,0.65517,0.748914,5.95,15830.37,16640.72,17226.35
MSCOCO,ImageBind,image->text,5000,sqrtN,71,32,0.450704,0.56974,0.53584,0.63656,0.704326,0.657642,0.752934,6.9,8812.51,8809.45,8849.38
MSCOCO,ImageBind,image->text,5000,sqrtN,71,64,0.901408,0.56882,0.5361,0.63604,0.697836,0.658002,0.75051,7.55,4165.94,4167.79,4151.49
MSCOCO,ImageBind,image->text,5000,sqrtN,71,71,1.0,0.56876,0.53618,0.636,0.697304,0.657886,0.750248,7.59,3715.59,3564.7,3763.06
MSCOCO,ImageBind,text->image,5000,n64,64,1,0.015625,0.47092,0.44488,0.52868,0.484478,0.480932,0.476764,-1.59,184469.17,190584.37,166624.46
MSCOCO,ImageBind,text->image,5000,n64,64,2,0.03125,0.52422,0.48908,0.5996,0.60302,0.584924,0.632258,4.85,120398.37,120056.67,121205.66
MSCOCO,ImageBind,text->image,5000,n64,64,4,0.0625,0.54382,0.50244,0.62238,0.649032,0.61659,0.706344,8.83,63280.81,63400.85,65122.57
MSCOCO,ImageBind,text->image,5000,n64,64,8,0.125,0.5517,0.50706,0.63026,0.663756,0.622104,0.738288,11.23,34013.4,33301.76,33320.25
MSCOCO,ImageBind,text->image,5000,n64,64,16,0.25,0.55406,0.50762,0.63272,0.667352,0.619446,0.747854,12.06,17296.43,17170.21,17187.88
MSCOCO,ImageBind,text->image,5000,n64,64,32,0.5,0.5549,0.50684,0.63128,0.668576,0.617354,0.74999,12.18,8784.28,8910.15,8796.26
MSCOCO,ImageBind,text->image,5000,n64,64,64,1.0,0.55486,0.50724,0.6312,0.669316,0.616712,0.749998,12.05,4159.37,4157.93,4166.02
