dataset,backbone,direction,index_type,mode,seed,r10,r100,gap_norm,db_mean_norm,query_mean_norm,gt_protocol,note
mscoco,clip-b32,image2text,binary_flat,shuffled_gap,0,0.296200,0.464802,0.824388,0.843312,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,ivf_rabitq,shuffled_gap,0,0.323720,0.553780,0.824388,0.843312,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,binary_flat,random_direction_same_norm,1,0.243040,0.398894,0.824388,0.836740,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,ivf_rabitq,random_direction_same_norm,1,0.324420,0.557398,0.824388,0.836740,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,binary_flat,shuffled_gap,1,0.313480,0.477440,0.824388,0.834862,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,ivf_rabitq,shuffled_gap,1,0.362620,0.574676,0.824388,0.834862,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,binary_flat,random_direction_same_norm,2,0.266800,0.416190,0.824388,0.836856,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,ivf_rabitq,random_direction_same_norm,2,0.330480,0.562342,0.824388,0.836856,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,binary_flat,shuffled_gap,2,0.293120,0.463826,0.824388,0.844370,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,ivf_rabitq,shuffled_gap,2,0.324040,0.553562,0.824388,0.844370,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,binary_flat,random_direction_same_norm,3,0.264560,0.427960,0.824388,0.830366,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,ivf_rabitq,random_direction_same_norm,3,0.361040,0.580604,0.824388,0.830366,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,binary_flat,shuffled_gap,3,0.320620,0.487006,0.824388,0.844984,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,ivf_rabitq,shuffled_gap,3,0.325120,0.555392,0.824388,0.844984,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,binary_flat,random_direction_same_norm,4,0.227800,0.404680,0.824388,0.850444,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,ivf_rabitq,random_direction_same_norm,4,0.327920,0.563490,0.824388,0.850444,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,binary_flat,shuffled_gap,4,0.299460,0.468482,0.824388,0.840369,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
mscoco,clip-b32,image2text,ivf_rabitq,shuffled_gap,4,0.323440,0.557122,0.824388,0.840369,0.686422,original_exact_ip,DB-side coordinate-shuffled gap
