condition,backbone,dataset,direction,seed,method,r10,r100,delta_r10,delta_r100,gt_protocol
Clotho_IB,ImageBind,Clotho,text->audio,456,pmc,0.691962,0.774431,-0.012249,0.000833,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,42,vanilla,0.609665,0.713464,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,42,pmc,0.664689,0.760976,0.055024,0.047512,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,123,vanilla,0.6,0.702804,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,123,pmc,0.658756,0.752211,0.058756,0.049407,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,456,vanilla,0.598565,0.707244,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,456,pmc,0.672344,0.757033,0.07378,0.049789,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,42,vanilla,0.361948,0.748358,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,42,pmc,0.394111,0.785504,0.032163,0.037146,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,42,vanilla,0.425339,0.822398,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,42,pmc,0.450226,0.826923,0.024887,0.004525,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,123,vanilla,0.35923,0.750623,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,123,pmc,0.396602,0.790487,0.037373,0.039864,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,123,vanilla,0.409502,0.794118,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,123,pmc,0.437783,0.819005,0.028281,0.024887,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,456,vanilla,0.361495,0.74564,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,456,pmc,0.402718,0.785504,0.041223,0.039864,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,456,vanilla,0.415158,0.809955,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,456,pmc,0.430995,0.820136,0.015837,0.010181,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,42,meanshift,0.36676,0.531732,0.00258,-0.008978,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,123,meanshift,0.3651,0.529662,-0.00012,-0.010218,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,456,meanshift,0.36374,0.532186,0.00328,-0.004788,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,42,meanshift,0.341,0.502344,0.08068,0.0482,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,123,meanshift,0.34488,0.509734,0.08164,0.041664,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,456,meanshift,0.34066,0.500328,0.0813,0.041718,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,42,meanshift,0.446821,0.782828,0.043672,0.018717,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,123,meanshift,0.432264,0.790255,0.035056,0.030897,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,456,meanshift,0.428402,0.782234,0.028223,0.018122,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,42,meanshift,0.467456,0.816568,0.011834,-0.007396,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,123,meanshift,0.443787,0.829882,-0.002959,0.010355,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,456,meanshift,0.463018,0.831361,-0.004438,0.02071,original_exact_ip
