backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,opq_pmc_1.00,1.0,image->text,64,100,0.931,0.6799,6821.37,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,64,200,0.9694,0.8475,5294.26,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,64,500,0.9897,0.9498,3306.91,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,64,1000,0.9962,0.9823,766.4,64,5000,512,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,16,0,0.2402,0.4338,57690.55,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,16,100,0.8155,0.4338,7462.67,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,16,200,0.8972,0.6387,6861.7,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,16,500,0.9227,0.8065,1136.55,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,16,1000,0.9237,0.8314,459.84,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,0,0.4907,0.631,58298.36,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,100,0.9234,0.631,5945.0,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,200,0.9438,0.7912,4661.46,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,500,0.9493,0.8599,1000.13,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,16,1000,0.9499,0.8677,448.56,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,16,0,0.4214,0.558,54544.24,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,16,100,0.8995,0.558,7533.05,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,16,200,0.9201,0.7407,5293.72,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,16,500,0.9237,0.8261,1154.38,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,16,1000,0.9237,0.8317,514.22,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,16,0,0.5289,0.6701,53027.05,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,16,100,0.9336,0.6701,7131.35,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,16,200,0.9465,0.8173,5842.27,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,16,500,0.9495,0.8637,1075.43,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,16,1000,0.9499,0.8677,519.88,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,64,0,0.2402,0.4263,24318.62,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,64,100,0.8321,0.4263,6791.26,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,64,200,0.9374,0.642,4714.06,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,64,500,0.9897,0.8741,994.68,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,text->image,64,1000,0.9984,0.9653,526.33,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,0,0.4957,0.6476,19309.92,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,100,0.9564,0.6476,5674.52,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,200,0.9848,0.8362,4354.8,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,500,0.9966,0.9521,1006.71,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,text->image,64,1000,0.9989,0.9857,511.22,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,64,0,0.4306,0.5761,18071.33,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,64,100,0.9543,0.5761,5908.43,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,64,200,0.9873,0.7948,3965.22,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,64,500,0.9985,0.9516,897.38,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,text->image,64,1000,0.9998,0.9915,464.57,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,64,0,0.5366,0.6963,19420.39,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,64,100,0.973,0.6963,5169.66,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,64,200,0.9916,0.882,4159.0,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,64,500,0.9979,0.9724,899.81,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,text->image,64,1000,0.9992,0.9928,473.35,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,16,0,0.2201,0.3457,58166.05,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,16,100,0.6858,0.3457,4105.82,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,16,200,0.828,0.5116,3375.66,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,16,500,0.9368,0.7482,883.56,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,16,1000,0.9529,0.8576,456.38,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,0,0.4545,0.5827,43911.38,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,100,0.9117,0.5827,6137.4,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,200,0.9536,0.7552,3286.2,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,500,0.9742,0.881,863.54,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,1000,0.9786,0.9159,464.71,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,16,0,0.4509,0.5854,51539.54,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,16,100,0.9392,0.5854,8010.79,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,16,200,0.952,0.7744,5042.23,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,16,500,0.9534,0.8621,1018.39,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,16,1000,0.9534,0.8657,534.04,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,16,0,0.5236,0.6723,48838.71,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,16,100,0.9421,0.6723,7117.22,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,16,200,0.9677,0.8227,5206.02,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,16,500,0.9777,0.9021,964.5,64,5000,768,42
clip-l,mscoco,opq_pmc_1.00,1.0,image->text,16,1000,0.979,0.9196,463.15,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,64,0,0.2195,0.3456,20031.89,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,64,100,0.6874,0.3456,5685.02,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,64,200,0.8346,0.5116,3742.07,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,64,500,0.9573,0.7532,884.59,64,5000,768,42
clip-l,mscoco,ivfpq_vanilla,0.0,image->text,64,1000,0.9919,0.9059,389.94,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,0,0.4551,0.5863,26636.02,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,100,0.9193,0.5863,5604.67,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,200,0.9648,0.7672,4738.83,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,500,0.9899,0.9171,902.74,64,5000,768,42
clip-l,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,1000,0.9971,0.9746,487.61,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,64,0,0.4542,0.5964,21072.69,64,5000,768,42
clip-l,mscoco,opq_vanilla,0.0,image->text,64,100,0.9743,0.5964,5014.46,64,5000,768,42
