backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,0,0.341,0.5023,19444.49,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,100,0.7877,0.5023,7050.29,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,200,0.8745,0.6507,5557.07,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,500,0.9481,0.8224,1283.93,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,1000,0.9707,0.9077,693.36,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,0,0.4376,0.6281,18634.61,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,100,0.9309,0.6281,6888.86,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,200,0.968,0.8078,5546.5,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,500,0.9798,0.9146,1264.26,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,16,1000,0.9809,0.9316,690.21,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,0,0.2349,0.3892,4652.43,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,100,0.6505,0.3892,3152.54,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,200,0.758,0.5233,2933.55,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,500,0.8647,0.6903,1048.05,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,64,1000,0.9261,0.8089,607.08,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,0,0.3381,0.4794,4642.87,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,100,0.7666,0.4794,3187.92,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,200,0.851,0.6118,3075.63,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,500,0.929,0.7683,967.39,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,1000,0.9686,0.8737,562.98,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,0,0.4243,0.5883,4532.46,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,100,0.9196,0.5883,3325.98,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,200,0.9677,0.7693,3506.78,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,500,0.9927,0.9214,1210.42,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,64,1000,0.9978,0.9762,614.1,104,5000,768,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,0,0.5541,0.6674,14144.49,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,100,0.9542,0.6674,5587.5,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,200,0.974,0.8299,4401.37,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,500,0.9808,0.9219,1000.54,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq,0.0,text->image,16,1000,0.9815,0.9392,510.07,136,5000,1024,42
imagebind,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,0,0.5076,0.6194,13403.34,136,5000,1024,42
