backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,500,0.9194,0.8079,2026.15,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,1000,0.9195,0.8087,1610.54,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,0,0.3616,0.5457,22278.76,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,100,0.8508,0.5457,8994.59,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,200,0.9194,0.725,8065.96,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,500,0.9589,0.8725,1897.78,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,71,1000,0.9698,0.9183,1000.25,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,0,0.3685,0.5344,22235.9,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,100,0.8174,0.5344,9377.17,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,200,0.8909,0.69,7971.01,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,500,0.9439,0.8344,1917.47,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,71,1000,0.9638,0.8973,1004.77,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,0,0.4816,0.6514,22211.31,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,100,0.9222,0.6514,9320.19,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,200,0.9526,0.8116,7777.77,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,500,0.9634,0.8903,1808.77,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,71,1000,0.9651,0.9017,974.23,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,0,0.3471,0.4997,5987.82,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,100,0.8201,0.4997,3748.56,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,200,0.8959,0.661,4058.92,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,500,0.9547,0.8257,1446.33,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,71,1000,0.9792,0.9142,828.6,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,0,0.3656,0.5145,5727.29,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,100,0.8004,0.5145,3772.42,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,200,0.8732,0.6572,3973.21,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,500,0.9327,0.7979,1459.76,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,1000,0.9634,0.8825,843.68,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,0,0.479,0.6432,5520.29,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,100,0.9314,0.6432,3405.29,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,200,0.9686,0.813,3610.06,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,500,0.9895,0.9306,1415.21,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,71,1000,0.9957,0.9733,852.26,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,8,71,0,0.28,0.5045,45216.71,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,8,71,100,0.7676,0.5045,11549.44,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,8,71,200,0.8792,0.6843,9273.27,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,8,71,500,0.9505,0.848,1979.88,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,8,71,1000,0.953,0.8604,1506.27,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,0,0.3505,0.5298,40459.85,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,100,0.8061,0.5298,11884.22,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,200,0.8899,0.6886,8885.35,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,500,0.9353,0.8254,1986.67,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,1000,0.9397,0.8452,1225.3,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,8,71,0,0.4505,0.6437,38277.45,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,8,71,100,0.9204,0.6437,11840.3,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,8,71,200,0.9434,0.7956,9365.29,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,8,71,500,0.9475,0.8453,1849.98,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,image->text,8,71,1000,0.9478,0.8466,1242.91,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,71,0,0.2632,0.4655,18930.21,104,5000,768,42
