backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,pmc_1.00,1.0,image->text,16,71,300,0.9519,0.838,8283.09,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,350,0.9557,0.8571,7768.63,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,400,0.9592,0.8713,7141.12,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,450,0.961,0.882,6810.85,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,500,0.9627,0.89,6225.71,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,0,0.2706,0.446,9087.06,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,100,0.6958,0.446,6106.15,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,200,0.7985,0.5925,5266.0,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,250,0.826,0.6358,4870.6,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,300,0.8456,0.6697,4852.82,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,350,0.861,0.6974,4652.01,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,400,0.875,0.721,4455.1,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,450,0.8868,0.7414,4229.87,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,500,0.896,0.759,4118.1,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,0,0.3019,0.4768,8409.67,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,100,0.7201,0.4768,6119.35,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,200,0.8088,0.6147,5145.19,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,250,0.8338,0.6553,5065.38,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,300,0.8524,0.6872,4871.77,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,350,0.866,0.7136,4631.05,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,400,0.8782,0.7356,4582.01,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,450,0.8883,0.7549,4104.64,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,500,0.8971,0.7718,4133.34,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,0,0.375,0.569,9107.6,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,100,0.8662,0.569,5852.11,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,200,0.9351,0.7455,5351.33,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,250,0.9512,0.7909,5033.9,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,300,0.9609,0.824,4836.0,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,350,0.9683,0.8495,4514.74,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,400,0.9732,0.8696,4445.27,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,450,0.9773,0.8858,4275.65,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,500,0.9804,0.8993,4131.43,72,5000,512,42
